comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@furball5543,2022-06-10T22:25:01+00:00,"5 days, 3:59:05","attn paul stanley, this is how it is done. real."
ct_2,@karlosmartinezzz47,2022-06-10T09:32:37+00:00,"4 days, 15:06:41",Amazing night of Rock ! Makarras y ojos pintados rockeando y pateando culos ! Grande Michael Monroe !!!!!!
ct_3,@1000foad,2022-06-09T15:10:02+00:00,"3 days, 20:44:06",This is how big players play ! ! !
ct_4,@Toya0822,2022-06-08T11:04:55+00:00,"2 days, 16:38:59",最高やな😹兎に角最高やな😆早く日本来てくれや🇯🇵🥀🎌
ct_5,@msu-bd8od,2022-06-07T12:10:19+00:00,"1 day, 17:44:23",Who is this freak?
ct_6,@hoksane,2022-06-07T11:34:05+00:00,"1 day, 17:08:09",I dont like drum sound.....it must be stronger....
ct_7,@fabiovigolo7288,2022-06-07T09:09:02+00:00,"1 day, 14:43:06",Great singer...great Crazy band...!!!
ct_8,@bayernundmetal,2022-06-07T06:05:20+00:00,"1 day, 11:39:24","ich war leider nicht vor Ort , kann deshalb nur aus der Ferne urteilen , hab mir jetzt das ganze RHF reingezogen , für mich ist Michael Monroe mit Abstand der schwächste Act gewesen , nur meine Meinung , ist aber auch nicht meine Richtung !"
ct_9,@enricocarnevale3769,2022-06-06T22:56:04+00:00,"1 day, 4:30:08",❤️❤️❤️🤟
ct_10,@michaelkennedy5126,2022-06-06T22:52:39+00:00,"1 day, 4:26:43",This band is on FOKKING FIYAH!!!!!!!!
ct_11,@alexschmidt5055,2022-06-06T16:36:18+00:00,22:10:22,Doro ist aber faltig geworden....und so punkig
ct_12,@heikopergande2280,2022-06-06T14:54:34+00:00,20:28:38,"Yesss, mittendrin gewesen 🤘❤️🙌"
ct_13,@Ace-nr8dr,2022-06-06T11:09:58+00:00,16:44:02,"He's not singing in tune. He struggles to reach high notes. The band is not grooving. It's stiff. You can definitely hear that they haven't been playing together for a while. New material is mediocre. Gets exciting only when they play Hanoi Rocks, Demolition 23 or cover songs."
ct_14,@海森-g8n,2022-06-06T08:43:17+00:00,14:17:21,いつまでもカッケーな！おいwダフとマイケルとトミーはかわんないね😸
ct_15,@chrise666,2022-06-06T02:19:58+00:00,7:54:02,Awesome!
ct_16,@ThrillingTwo,2022-06-06T02:14:47+00:00,7:48:51,"This was a kick-ass set of sweaty, balls-out rock and roll!"
ct_17,@ohmurahiroyuki3943,2022-06-06T00:19:42+00:00,5:53:46,"Now watching from Japan via archive!Well, here we go!"
ct_18,@Rockenrollronnie,2022-06-06T00:14:16+00:00,5:48:20,"Great fucking shit without any exaggeration!!!  Should record this on the television also when It' comes there!!! ""ROCKPALAST"" was there to filming It' so that's why It' comes on the television soon!!!    \m/      //R."
ct_19,@tanjamotorheadchen1040,2022-06-05T23:52:14+00:00,5:26:18,"Lemmy ♠️🥃 oder hab ich das falsch raus gehört, beim ersten Song 😬😎"
ct_20,@Robanhood,2022-06-05T22:46:54+00:00,4:20:58,"0:02:00 One Man Gang0:04:30 Last Train To Tokyo0:07:29 Murder the Summer of Love0:11:00 Nothin's Alright0:14:47 Trick of the Wrist0:17:13 '780:20:28 Soul Surrender0:24:14 Man With No Eyes0:28:32 Ballad of the Lower East Side0:32:00 Not Fakin' It0:36:27 Can't Stop Falling Apart0:39:34 Old King's Road0:42:58 Motorvatin'0:46:17 Hammersmith Palais0:50:48 Malibu Beach Nightmare0:54:45 Up Around the Bend0:58:42 Dead, Jail Or Rock'n'Roll1:06:17 Oriental Beat"
ct_21,@stkyhotel1,2022-06-05T21:33:16+00:00,3:07:20,"His solo work is really solid.“Horns & Halos”, “Sensory Overdrive” and “One Man Gang” all really good records…"
ct_22,@felipevaccaro6615,2022-06-05T20:36:02+00:00,2:10:06,lol Hanoi Rocks still kicking asses
ct_23,@stevenvalenti3722,2022-06-05T18:25:45+00:00,"-1 day, 23:59:49",Who is Michael Monroe? What group did he play in? I've never heard of him.
ct_24,@moreblack,2022-06-05T18:23:18+00:00,"-1 day, 23:57:22","Steve Conte on guitar, an anime legend with his vocal work on the Cowboy Bebop and Wolf's Rain soundtracks alongside Yoko Kanno."
