comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@Suburbiasimmons,2022-06-09T10:12:45+00:00,"3 days, 17:43:27",WELCOME  REVISETED YEARS  80
ct_2,@IKARI73,2022-06-08T14:11:43+00:00,"2 days, 21:42:25",Vomit QueensPoison TrashEvil Like a KnifeFucking Speed and DarknessRebirth by BlasphemyPenetratal EcstasyLust Filth and SleazeSatanic RoyaltyBlack Rock'n'RollSzex WitcheryProwling LeatherTelepathic NightmareYou Can't Stop SteelWho Gives a Fuck?Unholy and Rotten
ct_3,@Alice-Starseed666,2022-06-07T17:39:27+00:00,"2 days, 1:10:09",We were there 👊🏻
ct_4,@bennypepshmier9188,2022-06-07T12:37:35+00:00,"1 day, 20:08:17",What a sausage band i mean worst
ct_5,@SwineBrothers,2022-06-07T03:04:22+00:00,"1 day, 10:35:04","Make the Asphyx stream public again, come on!"
ct_6,@felipevaccaro6615,2022-06-06T20:16:34+00:00,"1 day, 3:47:16",so raw so fucking show
ct_7,@Heavy.Metal.Maniac,2022-06-06T17:38:51+00:00,"1 day, 1:09:33",Einfach die beste Band des Festivals gewesen! YOU CAN'T STOP STEEL!
ct_8,@philshoxx6001,2022-06-06T13:13:58+00:00,20:44:40,"Der Gig war mitten in die Kauleiste und hat richtig abgerissen! Vorne brannte wie üblich die Luft, auch wenn da der Sound der Vocals nicht ganz optimal war. Egal, es wurde massiv geliefert!!!"
ct_9,@numberofthebeast234,2022-06-06T12:26:45+00:00,19:57:27,NUR EINFALLSLOS DIE KAPELLE!!!!!!!!!!!!!!!!!!!!
ct_10,@flywithseaguls,2022-06-06T11:11:09+00:00,18:41:51,Durch den zwangsläufig fehlenden Blickkontakt geht ein Großteil der Magie verloren :-(   So bleibt mittelmäßiger Metal-Punk.......
ct_11,@OpisMist,2022-06-06T10:57:51+00:00,18:28:33,Mega! War mitten drin
ct_12,@BBQPlatoon,2022-06-06T05:50:04+00:00,13:20:46,Was ist DAS denn!!??!! 😂😂😂😂😂 was für eine miese Performance
ct_13,@osvaldofernandezozzzfernan1603,2022-06-06T02:10:19+00:00,9:41:01,Awesome 🔥🤘🏼🇧🇷👍🏼🍻
ct_14,@obelix703,2022-06-05T17:29:12+00:00,0:59:54,My second favorite set of the weekend so far.
ct_15,@christianhohbach4304,2022-06-05T16:33:15+00:00,0:03:57,Live und Raw.Klingt urig wie früher die Bands wo Reinhard Harms immer0 Punkte gegeben hat.Ich feierte die Platten damals!😎💪
ct_16,@FedExodus,2022-06-05T16:26:44+00:00,"-1 day, 23:57:26",WHAT A FUCKING SHOW!!!!! LOVE IT!!!!
