comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@lisamanning5954,2018-08-30T04:31:02+00:00,"11 days, 8:41:35",Awesome! Wish I could of been there!
ct_2,@derhanswurst23,2018-08-29T08:22:45+00:00,"10 days, 12:33:18",I was there and it was soo cool :DI was even crowdsurfing and in the walls of deaths
ct_3,@FlashBastard1964,2018-08-28T05:12:53+00:00,"9 days, 9:23:26",I think the singer looks and sounds like a young Mike Reno (Loverboy).
ct_4,@alejandroalcalacastillo4923,2018-08-26T15:05:52+00:00,"7 days, 19:16:25",in live they sound great
ct_5,@neverse6979,2018-08-26T10:54:42+00:00,"7 days, 15:05:15",OMG Jacoby's vocals are fuckin insane!!!! Better than ever
ct_6,@luis_ernesto7138,2018-08-25T20:18:08+00:00,"7 days, 0:28:41",VIVA LA CUCARACHA
ct_7,@SteffiStuber,2018-08-25T18:24:06+00:00,"6 days, 22:34:39","War dabei, war live richtig fett \m/ SB 2018! :D"
ct_8,@nekx2793,2018-08-25T16:18:03+00:00,"6 days, 20:28:36",This  tour in 2018 reminds me that Iam metalhead and this scream is the best painkiller for my heart JACOBY WE FUCKING LOVE YOU MEN AND CHESTER YOUR VOICE AND SONGS WILL STAY IN OUR HEARTS MEN ROCK AN ROLL IS NEVER DEAD
ct_9,@Flocket.Monster_TCG,2018-08-24T16:07:40+00:00,"5 days, 20:18:13",Werden eigentlich nach und nach alle Bands von der Main stage hochgeladen? Da waren nämlich noch ein paar die ich mir nochmal gerne ansehen würde 🙈
ct_10,@callanerd3104,2018-08-23T11:07:05+00:00,"4 days, 15:17:38",Ich glaube Livestream war nicht so eine gute Idee. Die Konzertaufnahmen die aus Zeitgründen im nachhinein in Ruhe abegemischt werden können haben bei Rockpalast eine viel viel bessere Qualität. Ich bin selbst Musiker und weiß wieviel schwerer es ist einen Live Stream im Gegensatz zu einer Aufnahme abzumischen. Man muss nur mal die anderen Rockpalast Aufnahmen von Papa Roach mit dieser vergleichen und hört den riesigen Unterschied. Ich war auch selbst mal im WDR Studio wo die Aufnahmen abgemischt werden und weiß dass das ein riesiger Unterschied zum Ü Wagen ist.
ct_11,@royantelo3933,2018-08-23T03:29:14+00:00,"4 days, 7:39:47",Que conciertazo!!! Papa Roach los unicos que siguen haciendo Rock
ct_12,@RegnumJagos,2018-08-22T21:14:16+00:00,"4 days, 1:24:49","Leider war ich nich so begeistert von Papa Roach, hatte mir mehr erwartet, sound war bescheiden, und nur okay, mehr hiphop elemente als sonst was dabei, aaaber ist schließlich alles geschmacksache, die pits warn so, naja, viele wussten nich was ein moshpit ist hab ich das gefühl gehabt bei papa roach, aber hab sie nun einmal gesehn, reicht dann auch ^^"
ct_13,@CeciShaw,2018-08-22T19:11:47+00:00,"3 days, 23:22:20",The drums sound great!
ct_14,@achimwitcoustic9585,2018-08-22T15:22:04+00:00,"3 days, 19:32:37","Periscope worked so well live. Cool song2 version, too.The old infest songs are live still fresh. And the newer stuff fits great. FEAR is awesome as well"
ct_15,@achimwitcoustic9585,2018-08-22T14:42:45+00:00,"3 days, 18:53:18",They survived Nu metal and transformed to a great rock band.
ct_16,@miqueiasmartins1052,2018-08-21T12:29:16+00:00,"2 days, 16:39:49",FUCK YEAH
