comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@-joe90,2022-06-23T20:47:44+00:00,"6 days, 21:39:14","Super band ....mega music ,ich bin grosse fan ."
ct_2,@jeffersongoncalves92,2022-06-22T20:35:45+00:00,"5 days, 21:27:15","Dude, Dallas is out of the band?"
ct_3,@chkchrycla,2022-06-22T19:05:40+00:00,"5 days, 19:57:10",Just cleaned my office listening to this....amazing set. A+
ct_4,@astonesthrow2o2o50,2022-06-22T08:42:57+00:00,"5 days, 9:34:27",Love these guys..... Who needs microphones when your music is this good?? Not Pelican. Freakin' awesome
ct_5,@mattgriffin999,2022-06-21T16:23:36+00:00,"4 days, 17:15:06",Can't wait for the Fall US Tour.  I'm going without Ear Protection. I need the pain in the ears and that Pelican punch to the chest.  Primitive Man has given me the strength......or taken away my common sense. Who knows?...........who cares?That's right. Nobody.
ct_6,@joncheuvront5487,2022-06-21T13:01:48+00:00,"4 days, 13:53:18","haha starting at 47:01 someone starts yelling out CHicago clubs.  Fireside Bowl, Bottom Lounge, Metro. Some Chicago love there."
ct_7,@EthanMNS,2022-06-20T21:06:42+00:00,"3 days, 21:58:12","Drought and March To The Sea back to the setlist 🤘 Heavy, brilliant, perfect!"
ct_8,@tommymaier3017,2022-06-19T15:20:56+00:00,"2 days, 16:12:26",when a band is this good   you don't need any singing at all
ct_9,@OGRANGE420,2022-06-19T12:16:56+00:00,"2 days, 13:08:26",Absolute pioneers
ct_10,@saturnskull1242,2022-06-19T08:02:41+00:00,"2 days, 8:54:11",Thumbs up for the Sunn Model T
ct_11,@jongustafsson4211,2022-06-17T21:38:33+00:00,22:30:03,one favorite band!
ct_12,@PraiseIommi,2022-06-17T13:40:49+00:00,14:32:19,Setlist1:13 Lathe Biosas6:05 Dead Between The Walls12:00 March To The Sea24:35 Ephemeral30:54 Drought39:33 The Creeper47:38 Sirius54:28 Strung Up From The Sky1:03:07 Australasia- Encore -1:15:29 Mammoth
ct_13,@Farold_Haltermeyer,2022-06-17T09:58:36+00:00,10:50:06,Where is the guitar in the mix!?!
ct_14,@toddhanson4418,2022-06-17T09:52:35+00:00,10:44:05,"Great to see Pelican on Rockpalast.  A true testament to their standing as a band within the music community.  The more I listen/watch this, the more I appreciate the performance.  This would make a great live album.  Blowing the power out...just another Pelican show."
ct_15,@hyd-satade,2022-06-17T04:26:29+00:00,5:17:59,"I always thought its extra impressive that they can sound so perfect, considering the added pressure of not having a vocalist covering up the instruments.  Just an extraordinary sound of balance from them every time."
ct_16,@briankaplan2089,2022-06-17T00:22:48+00:00,1:14:18,They are on fire.
ct_17,@elxavo86,2022-06-17T00:08:48+00:00,1:00:18,QUE INCREÍBLE NO SABES COMO TE AMO PELICAN \m/
ct_18,@charleshaupt6834,2022-06-16T23:58:55+00:00,0:50:25,"Brilliant band,well done guys,thank you soo much..Respect..."
ct_19,@TonyRedgrave1501,2022-06-16T23:23:53+00:00,0:15:23,I think the bassist Bryan Herweg created earthquakes around the festival area and the whole area around Siegen. Really great show!
