comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@zefirka3518,2018-10-08T13:10:33+00:00,"52 days, 15:32:43",По мне самое посредственное выступление powerwolf. Им срочно нужен второй вокалист для более плотного звука.
ct_2,@wws3950,2018-10-04T18:14:51+00:00,"48 days, 20:37:01","Que show muito foda \m/ precisa vim para o BRASIL,  se demorar terei que ir para Europa, mais um show desse não posso perder."
ct_3,@wws3950,2018-10-04T18:12:55+00:00,"48 days, 20:35:05",39:25 \m/ arrepia até a espinha
ct_4,@stefanaugustin5634,2018-10-03T23:51:52+00:00,"48 days, 2:14:02",29.10 in Hamburg !!!!!!!!!!!!!!!!!!!! Haleluhjaaaaaaaaaaaaaaaaaaaa
ct_5,@stratohammering,2018-10-01T18:29:45+00:00,"45 days, 20:51:55","""Übrigens, ich hab mich vertan, den Song hatten wir ja schon, ich hab ja, ich bin Doof im Kopf, wir machen ja anderen Song der geht ja anders"" Verdamt geil Jungs! War schon aufm Breeze saukomisch! Aber das macht euch noch sympatischer!"
ct_6,@DugiDevetCarabolium,2018-09-30T22:39:12+00:00,"45 days, 1:01:22","I wonder however, how much money they get from Vatican to sing those Catholic lyrics ?"
ct_7,@andysteele5707,2018-09-29T23:43:40+00:00,"44 days, 2:05:50",Love this concert. Powerwolf are the best. Please come to Birmingham uk soon.
ct_8,@friedrich_ii704,2018-09-27T13:49:27+00:00,"41 days, 16:11:37",Писюн привстал
ct_9,@peteroliveira9432,2018-09-25T16:44:03+00:00,"39 days, 19:06:13",Do caralho
ct_10,@44joaos,2018-09-21T21:40:23+00:00,"36 days, 0:02:33",eu queria aqui no rock in rio 2019 Powerwolf
ct_11,@iquest2582,2018-09-21T21:09:45+00:00,"35 days, 23:31:55",eerlijk die zangers Metal music zijn de moderne opera zangers. zij kunnen zelfs verder met hun stem dan die opera zangers.Maar  waarom  beseft buiten metal liefhebbers dat niet eens! Echt topaltijd!
ct_12,@iquest2582,2018-09-21T21:00:24+00:00,"35 days, 23:22:34",I  must still wait till 28 october to see them live in AB Brussels.. i long  so..
ct_13,@lvik7776,2018-09-21T16:26:08+00:00,"35 days, 18:48:18","23 марта будут в Минске обязательно схожу,живой звук это не что"
ct_14,@ThEWarrioRIcE,2018-09-20T23:31:10+00:00,"35 days, 1:53:20","Excelente banda, saludos desde Peru"
ct_15,@aquaaquarius2156,2018-09-20T17:26:28+00:00,"34 days, 19:48:38",🌟 ♥ 🌟 ♥ 🌟 ♥ 🌟 ♥ 🌟 ♥ 🌟 ♥ 🌟 ♥ ✨ ✨ ✨ ✨ ✨ ✨ ✨
ct_16,@oxyluxanimae5518,2018-09-20T17:05:57+00:00,"34 days, 19:28:07","Кайф до мурашек, от удовольствия!!!"
ct_17,@oxyluxanimae5518,2018-09-20T16:42:40+00:00,"34 days, 19:04:50","Я знаю, что живой концерт рок-группы это ТАКОЙ КАЙФ, это не то, что смотришь в компе. Живая музыка, живой голос это так круто. 29 марта 2019 года Powerwolf дадут концерт в Москве. Я живу в Ростове-на-Дону, но дай Бог, если у меня всё сложится как надо, то я ОБЯЗАТЕЛЬНО приеду на их концерт. Я так этого хочу!!! Я узнала об этой группе буквально пару дней назад и влюбилась в их музыку. Я их обожаю. Скачала себе их песни на телефон и получаю теперь невероятное удовольствие!!! Хочу ещё написать здесь то, что я отписалась в инстаграм от Ольги Бузовой, мотивируя это тем, что лучше отказаться от херни, в пользу встречи с чем-то новым и более лучшим, и вот моя встреча с прекрасным состоялась!))) Спасибо, Господи за это!!! И, если взять во внимание то, что я обожаю рок-музыку и именно живой вокал, то неудивительно, что я недолюбливаю фанерных особей российской попсы!)))"
ct_18,@HurricaneGregor,2018-09-20T16:40:24+00:00,"34 days, 19:02:34","AV is actually great quality for a live stream, much appreciated."
ct_19,@nivasantos7653,2018-09-19T13:02:10+00:00,"33 days, 15:24:20",Fucking amazing!! Cheers from Brazil!!
ct_20,@antoninogiordano7763,2018-09-19T11:08:34+00:00,"33 days, 13:30:44",In wolf we stand united
ct_21,@cloyd1234,2018-09-18T23:24:03+00:00,"33 days, 1:46:13",🐺🐺🐺
ct_22,@verahexakosio2329,2018-09-17T16:53:29+00:00,"31 days, 19:15:39",The Greywolfs are so fckn HANDSOME **O** >.<
ct_23,@SlendyTube,2018-09-16T10:09:05+00:00,"30 days, 12:31:15","Keine Ahnung warum, aber ich finde diesen Augenblick 34:54 voll cool. Da sieht man richtig, wie viel Bock die immer noch haben :D"
