comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@gabryel2645,2022-06-24T16:14:30+00:00,"6 days, 17:29:32",brabos dms
ct_2,@felipevaccaro6615,2022-06-23T01:36:13+00:00,"5 days, 2:51:15",amazing band
ct_3,@fizzyfinest,2022-06-22T17:09:24+00:00,"4 days, 18:24:26","Ich liebe diese Band ♥zu traurig, dass die Veranstaltung in Bremen diesen Monat abgesagt wurde."
ct_4,@Stoney776,2022-06-22T12:32:48+00:00,"4 days, 13:47:50",0:00 - Reverse Thunder4:04 - Dirt Wizard7:00 - Bird on Fire10:20 - Sharks14:43 - Two High18:38 - Blood Like Cream22:32 - Malverde26:20 - Crows in Swine30:10 - Arrows33:48 - Into the Eye38:40 - Wires44:48 - Number Thirteen50:00 - Prehistoric Dog55:58 - Hank Is Dead58:40 - Throw Up
ct_5,@plntpls,2022-06-22T11:06:31+00:00,"4 days, 12:21:33",24:57 sounds killer
ct_6,@MrMackaSacka,2022-06-20T11:31:22+00:00,"2 days, 12:46:24",Great band
ct_7,@russellzauner,2022-06-19T15:31:12+00:00,"1 day, 16:46:14",Oregon Representcome for the sludgestay for the cookies and beerOregon Brewer's Festival is back on this year!COME DRINK WITH US
ct_8,@tommymaier3017,2022-06-19T10:50:06+00:00,"1 day, 12:05:08",I saw these guys open for clutch around 2008 in rochester ny.
ct_9,@dianaeisemann3115,2022-06-18T21:14:13+00:00,22:29:15,I did not know them before. BUT they are  great.
ct_10,@peterreynolds3088,2022-06-18T19:35:53+00:00,20:50:55,Awesome!
ct_11,@russbucholtz5013,2022-06-18T16:09:08+00:00,17:24:10,"This could be a ""Live"" album, the sound is so good!!🤘👏"
ct_12,@viktorviktor3350,2022-06-18T16:08:16+00:00,17:23:18,Really fantastic !
ct_13,@letsmakepancakes3,2022-06-18T06:43:59+00:00,7:59:01,These guys are so damn awesome
ct_14,@RasaGhul,2022-06-18T02:07:08+00:00,3:22:10,For ME the Best after BungHole or Fleischwolf .....True Music for the Fu World Duuudes e Dudettes;)
ct_15,@BockwinkleB,2022-06-17T23:39:48+00:00,0:54:50,Best set of the festival so far along with Mondo Generator.  Can't wait for tomorrow.
ct_16,@MetalBere,2022-06-17T23:09:14+00:00,0:24:16,"What happened with the other shows, Blind Guardian, Michael Monroe, Night Demon, Accept? I saw you uploaded them and now they aren't here."
ct_17,@CCKruse,2022-06-17T22:49:19+00:00,0:04:21,"Sehr schönes Konzert! Zu ""eine Palette Dosenbier"" fällt mir Karlsquell vom ALDI ein..."
