comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@aldoraine1321,2022-06-10T07:49:00+00:00,"6 days, 10:52:51","Wow, Phil lost a lot of weight !"
ct_2,@necropink9200,2022-06-09T22:53:29+00:00,"6 days, 1:57:20",I saw these guys a few years back at Newcastle England and they were great. Before the gig I met Phil Rind as he was at the merch stall which was really cool of him.
ct_3,@rammplane6031,2022-06-09T21:02:05+00:00,"6 days, 0:05:56",Мне эта группа почему - то дико напоминает Slayer)
ct_4,@andyniederberger425,2022-06-09T17:12:02+00:00,"5 days, 20:15:53",I'm a big fan🔥🔥🔥🤘🔥🔥🔥
ct_5,@lowlifeangler,2022-06-09T16:18:53+00:00,"5 days, 19:22:44",Another way over under rated older metal band with newer material that's  way beyond awesome than stupid shit that plays on commercial radio
ct_6,@IKARI73,2022-06-08T14:09:11+00:00,"4 days, 17:13:02",Divide & ConquerThe American WayKilling MachineLove...HateOne NationIgnoranceSalvationWho's to BlameIndependentAwakeningFreeManifest RealityDeath SquadEncore:Surf Nicaragua
ct_7,@zeljocerm,2022-06-07T21:56:10+00:00,"4 days, 1:00:01",I was on your gig in Zagreb Croatia long time ago
ct_8,@mikeaydin4024,2022-06-07T20:05:08+00:00,"3 days, 23:08:59","Super cool!  After two totally fucked up and lost Corona years, it was really incredibly beautiful, exhausting, exciting, fun and liberating!  And when people write here that the sound sucks, then I'll just quote: If you have no idea, just shut up!  I was there and the live sound at Sacred Reich was very well mixed, as is the case here in the recording or that was the live stream!  Two guitars very well audible and defined, no mud, the solos very well and clearly audible in the stereo sound image.  Bass super good 👍 Drums a bit too few overheads or cymbals audible.  Singing great!  All in all a really good live mix!  That was much worse at the Rock Hard Festival, to put it politely, whoever was there in 2008 will surely remember the Testament show!  It was really cruel, even as a die-hard fan it was unbearable, so if someone writes here that the sound is bad on this Sacred Reich show, either they weren't there or they're deaf!"
ct_9,@mikeaydin4024,2022-06-07T20:04:47+00:00,"3 days, 23:08:38","Super Geil! Nach zwei Total beschissen und verloren Corona Jahren, war das wirklich unglaublich schön, anstrengend, spannend, spaßig und befreiend! Und wenn Leute hier schreiben das der Sound scheisse ist, dann zitiere ich jetzt einfach mal: Wenn man keine Ahnung hat, einfach mal die Fresse halten! Ich war da, und der Live Sound war bei Sacred Reich sehr gut gemixt, wie auch hier in der Aufnahme bzw. das war ja der live stream! Zwei Gitarren sehr gut hörbar und definiert, kein Matsch, die Solos sehr gut und Klar und ganz klar im Stereo Klangbild hörbar. Bass super gut 👍 Drums ein bisschen zu wenig Overheads bzw. Becken hörbar. Gesang Super! Alles in allem ein wirklich guter Live Mix! Das gab es auf dem Rock Hard Festival schon wesentlich schlechter, um es mal Höflich zu sagen, wer 2008 da war wird sich sicherlich an die Testament show erinnern! Die war wirklich grausam, selbst als eingefleischter Fan war das unerträglich, also wenn hier jemand schreibt, das bei dieser Sacred  Reich show der Sound schlecht ist, war entweder nicht da, oder ist Taub!"
ct_10,@bacardi666,2022-06-06T19:28:12+00:00,"2 days, 22:32:03",which band shirt is wiley wearing?
ct_11,@felipevaccaro6615,2022-06-06T17:51:12+00:00,"2 days, 20:55:03",powerful vocal
ct_12,@BBQPlatoon,2022-06-06T05:53:11+00:00,"2 days, 8:57:02",Super!!!!!!
ct_13,@EZMETAL,2022-06-05T11:28:23+00:00,"1 day, 14:32:14",Divide & ConquerThe American WayKilling MachineLove...HateOne NationIgnoranceSalvationWho's to BlameIndependentAwakeningFreeManifest RealityDeath SquadEncore:Surf Nicaragua
ct_14,@EZMETAL,2022-06-05T11:26:38+00:00,"1 day, 14:30:29",Thanx!!!! 1000 times... thanx!
ct_15,@nopuppetsounds5070,2022-06-05T07:31:05+00:00,"1 day, 10:34:56",Sacred Reich forever! R.I.P. Jason Rainey (1967-2020) and also R.I.P. Jeff Martinek (1968-2018) who played on the Draining You Of Life Demo
ct_16,@serajr,2022-06-04T19:29:26+00:00,22:33:17,01:07:00 Surf Nicaragua \m/
ct_17,@maggoh.2558,2022-06-04T17:10:46+00:00,20:14:37,Immer wieder geil!🤘
ct_18,@satanicbudda,2022-06-04T16:46:51+00:00,19:50:42,Phil's voice is stronger than ever and it is emtional to see him when mentioning Jason.
ct_19,@dresleven3910,2022-06-04T15:58:35+00:00,19:02:26,It is one of the nicest bands to see at on festival
ct_20,@fnnf6915,2022-06-04T08:26:29+00:00,11:30:20,Please setlist...
ct_21,@Lycanthropy54or,2022-06-04T04:32:39+00:00,7:36:30,Encino man!
ct_22,@titorrante1,2022-06-03T23:12:05+00:00,2:15:56,59:00 Thrash!
ct_23,@tehnagabakti,2022-06-03T23:11:10+00:00,2:15:01,Phil still has one of the best fucking voices in metal.  Al hail the Reich!
ct_24,@danielrhode127,2022-06-03T21:30:27+00:00,0:34:18,Scheiss Sound
ct_25,@hugolehuearo112,2022-06-03T20:59:52+00:00,0:03:43,La palaaaa
