comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@tripeldaytona4243,2018-11-25T15:29:32+00:00,"99 days, 16:34:33","Perfect band,perfect performance👌"
ct_2,@daveschrdinger,2018-10-14T20:40:22+00:00,"57 days, 21:45:23","Ich habe geseht nicht so wunderbra konzert für die lang zeit! Vielen dank, Satyricon!!!"
ct_3,@mister_syre,2018-10-14T05:34:43+00:00,"57 days, 6:39:44",How boring this band has become goes beyond my understanding.
ct_4,@jamilmeron1711,2018-10-13T23:51:27+00:00,"57 days, 0:56:28","Our worrrrrllldddd, it ruuuuumbles toniiiight... fucking dark... i like that"
ct_5,@mastersatan4999,2018-10-04T10:13:55+00:00,"47 days, 11:18:56",he sounds better as he sounded in 2016 but still..they should be slapped for the setlist
ct_6,@jonathangarcialozada3764,2018-09-29T22:52:35+00:00,"42 days, 23:57:36",That bass sounds like hell!!! Good bass player
ct_7,@pc4301254,2018-09-28T07:04:22+00:00,"41 days, 8:09:23",Frost master!!!
ct_8,@manurivera94,2018-09-25T19:56:32+00:00,"38 days, 21:01:33","Que buen setlist la puta madre xD /,,/"
ct_9,@V-I--pr9xp,2018-09-25T11:11:01+00:00,"38 days, 12:16:02",Some terrorist needs to go and blow up in the middle of this circus
ct_10,@claudiobasile3546,2018-09-06T09:50:11+00:00,"19 days, 10:55:12",muito  fudido valeu
ct_11,@misterwanderson13,2018-09-05T19:03:55+00:00,"18 days, 20:08:56",ruim este show        mas a banda  e foda   mas  ta tocando  igual crente  cada  a agressividade
ct_12,@kingdiamond5840,2018-09-04T03:41:04+00:00,"17 days, 4:46:05","Thanks for sharing! Great mix... superb bass. It's incredibly rare to find a good Satyricon live mix. I really enjoyed this show, unlike the audience of apparent quadriplegics."
ct_13,@MasterOfWash,2018-08-29T20:41:24+00:00,"11 days, 21:46:25","Dayyyyuuum, Satyr's vocal performance deteriorated dramatically over the years."
ct_14,@MetalEyez,2018-08-28T19:28:25+00:00,"10 days, 20:33:26",I was there !!
ct_15,@wesleywarsmith1113,2018-08-26T22:12:11+00:00,"8 days, 23:17:12",I miss the REBEL days... Much more Ugly and Loud!
ct_16,@minhyllest6713,2018-08-26T02:07:41+00:00,"8 days, 3:12:42",where are the old songs
ct_17,@seanpennhauer9133,2018-08-25T10:47:19+00:00,"7 days, 11:52:20","Actually the most boring setlist ever! That says a lot about where Satyricon stands today. Generic and soulless shit. Hint to the producers: Show at least Frost, who cares about lights or audience?"
ct_18,@iank4214,2018-08-25T10:26:03+00:00,"7 days, 11:31:04",Great show \m/
ct_19,@letrasdemedianoche5575,2018-08-24T20:00:03+00:00,"6 days, 21:05:04","Why, why WHY!!!!! Why they always play KING at the end of every show?"
ct_20,@trekkspellbossen482,2018-08-23T14:58:46+00:00,"5 days, 16:03:47","Thanks for streaming this. Well shot Satyricon shows are hard to find for some reason, so this made my day. Great show. The crowd was pretty lame, but Satyricon put on a great show, and played tight as hell. Respect for these guys. Rock on!!"
ct_21,@soundsphereproject1295,2018-08-23T02:17:05+00:00,"5 days, 3:22:06",Bass is sounding so beautiful in this footage!!!♥️
ct_22,@malteadotas4,2018-08-22T21:49:58+00:00,"4 days, 22:54:59",Masterful!
ct_23,@lapsusdivini8082,2018-08-22T21:23:01+00:00,"4 days, 22:28:02",Good concert !!!!
ct_24,@bifesujo,2018-08-22T17:27:19+00:00,"4 days, 18:32:20",Nível altoEnquanto isso a maioria dos brasileiros fica só sonhando
