comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@diegobosco9480,2022-06-08T22:03:58+00:00,"3 days, 3:07:29",Great guitarrist! I want Andy forever!But Bernemann is the very best!!!
ct_2,@shinbukan,2022-06-08T08:27:10+00:00,"2 days, 13:30:41",Why is Bernd on the video pic? I Can't see him anywhere
ct_3,@claudiobasile3546,2022-06-08T08:19:25+00:00,"2 days, 13:22:56",Mr tom angelripper the master
ct_4,@ПавелКрылов-и4п,2022-06-07T15:26:08+00:00,"1 day, 20:29:39",5.50 solo. What a shame. Our children in rural clubs play better than this clown)))
ct_5,@СергейМизин-х4ц,2022-06-07T15:23:13+00:00,"1 day, 20:26:44",класс
ct_6,@MZ655321,2022-06-07T03:01:41+00:00,"1 day, 8:05:12","Als die „Tapping the vein“ herauskam war ich der einzige im Freundeskreis, der Sodom noch mochte. Spätestens mit der „Better off dead“ waren alle anderen 'raus. Death Metal killed the Thrash Metal Stars. Ich freue mich, dass die Band die Phase geschafft hat und heute wieder im Sattel sitzt."
ct_7,@immanuel_cunt7688,2022-06-06T17:16:02+00:00,22:19:33,sloppy!
ct_8,@jimmijohnson2617,2022-06-06T15:12:27+00:00,20:15:58,"Alter wie geil! Ich dachte zuerst, dass das hier ein normales Sodom Konzert wäre, aber war dann doch positiv überrascht Andy zu sehen. Gute Show🤘"
ct_9,@NothingDanish4ever,2022-06-06T14:03:32+00:00,19:07:03,"Sodom`s beste Phase war die, MIT Andy Brings....Punkt."
ct_10,@iq69estMCMLXXXVIII,2022-06-06T13:00:20+00:00,18:03:51,"Die Leute, die hier posten die Drums oder die Gitarre wären schlecht, haben einfach keinen Plan. Der Sound ist leider ziemlich mies, das lässt vielleicht bei so manchem Knallköpp diesen Schluß zu. Einfach mal Fresse halten wäre hier angebracht!"
ct_11,@deathperado666,2022-06-06T11:00:44+00:00,16:04:15,Der Andy Brings muss wieder fest bei Sodom rein. Der haut ordentlich Pfeffer in den Sound.
ct_12,@mathiaspodlovics6306,2022-06-06T10:40:30+00:00,15:44:01,"'Tapping the vein' ist insgesamt ein absolut unterschätztes Brett von einem Klassiker :) Sound ist wie meistens beim RH sehr ehrlich, finde das stets interessant"
ct_13,@welsonpolanskgomespolansk7558,2022-06-06T10:23:04+00:00,15:26:35,New line up? Master Frank? ??????
ct_14,@asraelfaster5025,2022-06-06T08:07:11+00:00,13:10:42,Ei Ei Ei 😂🤣😎
ct_15,@Versickten,2022-06-06T07:52:45+00:00,12:56:16,"Es ist schön den Andy mal wieder ""vernünftige"" Musik spielen zu sehen. Und er klingt auch noch richtig gut."
ct_16,@petermill3909,2022-06-06T07:38:47+00:00,12:42:18,"Great Job, Toni Merkel!!"
ct_17,@stereotype69,2022-06-05T23:26:25+00:00,4:29:56,"Andy ""Brings"" nicht mehr wirklich. Schlimm"
ct_18,@michaelott5222,2022-06-05T22:44:07+00:00,3:47:38,"Geiler Auftritt mit 3 Songs vom besten Sodom-Brett Tapping The Vein"". Das Ding lief bei mir damals rauf und runter und gefiel mir sogar besser als Persecution Mania oder Agent Orange."
ct_19,@wesleycosta8697,2022-06-05T21:17:03+00:00,2:20:34,"Celebrating the 30 years of Tapping The Vein released in 1992, with Andy Brings on guitar:0:27 - Body Parts3:25 - One Step Over The Line8:55 - Wachturm"
ct_20,@michaelschmidt9708,2022-06-05T21:07:51+00:00,2:11:22,Pure garbage!  Angelripper should be ashamed to be seen in public after this trainwreck!
ct_21,@cristianmetalsubs378,2022-06-05T20:40:29+00:00,1:44:00,new line up ?
ct_22,@jaceksky4064,2022-06-05T20:18:27+00:00,1:21:58,Great 🤘👍👍
ct_23,@ramonschoning5335,2022-06-05T19:59:17+00:00,1:02:48,30 Jahre Der Wachturm !!!
ct_24,@eliasvega3518,2022-06-05T19:38:45+00:00,0:42:16,Who's drumming??
ct_25,@ramonschoning5335,2022-06-05T19:34:07+00:00,0:37:38,Mooooola 🤘🤘🤘
ct_26,@danielkosiak9178,2022-06-05T19:28:00+00:00,0:31:31,Der Drummer ist nicht so gut
ct_27,@ungolhammer5574,2022-06-05T19:26:29+00:00,0:30:00,Tom Angelripper AAARRRGGGHHH
ct_28,@germancuevas6089,2022-06-05T19:23:46+00:00,0:27:17,They only played two songs? :S
ct_29,@satanicbudda,2022-06-05T19:09:19+00:00,0:12:50,Where is Frank?
