comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@Dashynene,2022-06-25T02:52:49+00:00,"6 days, 8:29:38",Antiseen
ct_2,@poppyseed8741,2022-06-24T18:37:03+00:00,"6 days, 0:13:52",Awesome! Pure energy!!!
ct_3,@andevil777,2022-06-22T19:28:46+00:00,"4 days, 1:05:35","Came for Fun Manchu, stayed for A. Bitchwax, These cats, Red Fang, et. al.🤘💪👍"
ct_4,@Gargadonz,2022-06-20T20:19:39+00:00,"2 days, 1:56:28",Holy shit haven’t seen this band in ages
ct_5,@andreas3761,2022-06-20T18:17:58+00:00,"1 day, 23:54:47","welcome back, you were missed!"
ct_6,@christianreder1976,2022-06-20T09:07:19+00:00,"1 day, 14:44:08",Grandioser Auftritt
ct_7,@wimpetervandenbergh4536,2022-06-19T07:29:25+00:00,13:06:14,Nit übel....
ct_8,@BayouMaccabee,2022-06-19T04:13:38+00:00,9:50:27,Excellent!
ct_9,@Samson12372,2022-06-18T22:56:52+00:00,4:33:41,die fand ich ja sehr guut !
ct_10,@On_Dust,2022-06-18T20:08:31+00:00,1:45:20,Wowie. I didn't expect this.
ct_11,@markwojama,2022-06-18T18:26:32+00:00,0:03:21,Yeaahh!!! 🤘♥
