comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@PedroPrando,2022-06-07T15:50:18+00:00,"2 days, 23:56:04",Love this band since i've heard for first time🤘🏻🔥🎶 they bring the 80s totally back
ct_2,@felipevaccaro6615,2022-06-07T03:21:29+00:00,"2 days, 11:27:15",waiting for a show in Brazil awesome band
ct_3,@warghem,2022-06-05T21:50:29+00:00,"1 day, 5:56:15",Is it Marcus Jidell filling in for David?
ct_4,@robsonel56,2022-06-05T20:22:29+00:00,"1 day, 4:28:15",Where is David Andersson?
ct_5,@Appelhammer,2022-06-05T18:23:46+00:00,"1 day, 2:29:32",Beste
ct_6,@ChiliClouds,2022-06-05T17:43:12+00:00,"1 day, 1:48:58",01:29 - How Long06:13 - Sometimes the World Ain't Enough11:06 - Divinyls14:49 - If Tonight Is Our Only Chance19:00 - Burn For Me22:45 - This Boy's Last Summer27:55 - Gemini32:29 - Satellite35:53 - White Jeans42:33 - West Ruth AveBest band ever existed.
ct_7,@sunbeam4248,2022-06-05T15:02:50+00:00,23:08:36,Leider sehr schlechte Audioqualität. sehr schade.
ct_8,@christianpohl3006,2022-06-05T11:36:53+00:00,19:42:39,Great band with cool songs and an ironical touch
ct_9,@hcmightybeaver,2022-06-05T10:10:31+00:00,18:16:17,"Coole Mukke mit einen MEGA 😎💪 SÄNGER wusste schon das Strid ein guter  ist aber das er live so geil singt, Wow ✌️"
ct_10,@dudleydawson84,2022-06-05T07:15:51+00:00,15:21:37,Where is their main songwriter guitarist David?
ct_11,@WickedBuddhi,2022-06-04T23:46:18+00:00,7:52:04,YESSS!!
ct_12,@albertleman6612,2022-06-04T21:25:21+00:00,5:31:07,New stewardess??😍👌
ct_13,@Cugel,2022-06-04T20:12:04+00:00,4:17:50,720p??? Do you film with webcams?
ct_14,@NeudiTheChannel,2022-06-04T18:57:46+00:00,3:03:32,The left background singer is a true goddess!!!!
ct_15,@MattiasA72,2022-06-04T18:44:55+00:00,2:50:41,Björn Strid sang for Gathering of Kings on their first album. Great melodic hard rock.
ct_16,@martinsprenz2872,2022-06-04T18:28:05+00:00,2:33:51,Warum ist denn die Sound und Bildqualität so scheisse? Bin ich von Rockpalast eigentlich besseres gewöhnt. Gerade läuft Asphyx... ebenfalls in scheiss Quali... SKIP!
ct_17,@davidanalyst671,2022-06-04T18:02:10+00:00,2:07:56,"It sure is difficult taking this band seriously when I point out that that the lead singer looks like @BaldandBankrupt, another youtuber."
ct_18,@JimmyJam184,2022-06-04T17:53:24+00:00,1:59:10,Das als Schrott zu bezeichnen ist Schwachsinn erster Güte. Nur weil es seinen Geschmack nicht trifft sollte man solchen Müll nicht posten. Und das ist Null komma Null Glam Rock. Man nennt es eher 80er Jahre AOR.
ct_19,@davidanalyst671,2022-06-04T17:48:25+00:00,1:54:11,"the band isn't half bad....  The audio and video were massaged too much.  I guarantee the drumming in the first 3 songs were recorded somewhere else, at some other time.  Usually at live performaces, its impossible to isolate the performers audio, which makes it so much fun, but several songs the audio is crystal clear, so I think the audio was recorded at another time.  The band's music was a lot better than the video editing tho, so IM not mad"
ct_20,@tijuas,2022-06-04T16:40:24+00:00,0:46:10,Monsters of Cock Rock.
ct_21,@hanscaffier3316,2022-06-04T16:17:04+00:00,0:22:50,Reminds me of Survivor - the music and the outfit of the singer (baret).🤘
