comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@Soberhead,2018-08-29T21:21:41+00:00,"12 days, 1:35:30",also ich war auf dem festival..... und bin mega der trivium fan... zum glück hab ich das verpasst.... haben die den drive daheim vergessen? der gig pumpt ja gar nicht :P
ct_2,@derhanswurst23,2018-08-29T08:17:45+00:00,"11 days, 12:31:34",was there in the first row... so freaking awesome
ct_3,@nameless7845,2018-08-28T21:37:11+00:00,"11 days, 1:51:00",25:51 poor Mr. Dinosaur
ct_4,@Stockholmsforsvarare,2018-08-27T20:22:42+00:00,"10 days, 0:36:31",Trivium is definitely by far the best live band in the metal genre right now
ct_5,@take_away423,2018-08-27T09:32:49+00:00,"9 days, 13:46:38","lol when most ppl complaining about low snare sound, u guys reworked on audio and did snare even 20% lower than it was before lmao"
ct_6,@MegaTechpc,2018-08-26T19:02:58+00:00,"8 days, 23:16:47","Not gonna lie, that was about the best live version of Strife I think I’ve ever heard!"
ct_7,@aleesantos4984,2018-08-26T14:05:59+00:00,"8 days, 18:19:48",It's missing an important part. The drums.
ct_8,@Lozky1,2018-08-26T09:25:13+00:00,"8 days, 13:39:02",Finally a Trivium concert with Good sound on YouTube ! Thanks
ct_9,@spectre3492,2018-08-26T02:46:46+00:00,"8 days, 7:00:35",this entire mix sounds awful
ct_10,@Hans_Lex,2018-08-26T01:58:28+00:00,"8 days, 6:12:17",Where's Wacken 2018 concerts? Need In flames and ghost
ct_11,@Kg-ly1ye,2018-08-26T00:32:13+00:00,"8 days, 4:46:02",his vocals were amazing my dad saw them for first time and had never heard of them and he's a 80s rock guy. he absolutely loved them
ct_12,@Kg-ly1ye,2018-08-26T00:30:50+00:00,"8 days, 4:44:39",I saw them at the Carolina rebellion back in may one of the top three bands there
ct_13,@kirillscream_sml8024,2018-08-25T22:43:13+00:00,"8 days, 2:57:02",Лучшее выступление  triviumа!!!
ct_14,@MegaTechpc,2018-08-25T18:41:00+00:00,"7 days, 22:54:49",Corey’s screams are still so fucking boss!  So underrated!
ct_15,@NicoCon1,2018-08-25T10:21:24+00:00,"7 days, 14:35:13","I love Trivium , i really do, it's one of the best modern metal band. But Matt needs to stop saving his voice THAT much. I think he is more than everything scared to blow up his voice again. His 2008/2013 era was the best, so much energy and his voice so powerful. Still an anwesome band and I wish them the best."
ct_16,@officiallion9288,2018-08-25T05:12:30+00:00,"7 days, 9:26:19","I really need to hear a Trivium show like this but with proper hq audio. I can tell this a good performance, but the audio sounds like ass."
ct_17,@lawrenceholcombe1578,2018-08-25T04:15:56+00:00,"7 days, 8:29:45",I really dislike Corey’s screaming. I wish Matt did all of it.
ct_18,@royrehi3161,2018-08-24T20:23:46+00:00,"7 days, 0:37:35",Crowd dead as fuck
ct_19,@johnisguilherme50,2018-08-24T14:39:37+00:00,"6 days, 18:53:26",Paolo Gregoletto is a fucking awesome bass player.... Oh my fucking god!
ct_20,@imjustsaying4807,2018-08-24T04:53:16+00:00,"6 days, 9:07:05","Is Matt using a new screaming technique here? It sounds so different from the ""false scream"" he had been incorporating since Silence In The Snow. It also sounded like it could be painful as the very first technique he used to do on their early days which damaged him in the first place"
ct_21,@PnH_tv,2018-08-23T17:38:32+00:00,"5 days, 21:52:21",Holy shit at last! HD live for Trivium!!
ct_22,@etforde,2018-08-23T17:03:10+00:00,"5 days, 21:16:59",Best start ever :D
ct_23,@eguri-san4797,2018-08-23T12:00:02+00:00,"5 days, 16:13:51",I got goosebumps when In Waves started *___*
ct_24,@mirokic,2018-08-22T23:32:34+00:00,"5 days, 3:46:23","Huh. Matt's voice sounds terrible. He sounded much better just 4 months ago on European Tour. I saw them in London, fantastic show and solid vocal performance from him, but this is... i don't know how to describe... tired?"
ct_25,@frostmediaprod344,2018-08-22T20:57:09+00:00,"5 days, 1:10:58",Bassium ft. Ride'n'Kick band
ct_26,@rudimoe9455,2018-08-21T06:31:58+00:00,"3 days, 10:45:47","War da, war geil, würde wieder tun!"
ct_27,@gabrielnapoli7253,2018-08-21T01:17:30+00:00,"3 days, 5:31:19",I've been waiting for almost a fucking year to see a streaming like this with the new setlist. I'm officially ready to die.
ct_28,@storageddd,2018-08-20T20:11:38+00:00,"3 days, 0:25:27",Matt fucka idiot
ct_29,@nelberkheij3748,2018-08-20T20:10:27+00:00,"3 days, 0:24:16","Whats wrong with Matt""s voice?  Sounds awful.........   :-("
ct_30,@FyAt95,2018-08-20T20:10:25+00:00,"3 days, 0:24:14",Trivium is great!!
