comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@igorkalinkin8605,2018-10-26T18:15:03+00:00,"69 days, 0:18:13",Гитару надо бы попрочнее! Поближе к мастерской игре.
ct_2,@anaalhaqqescapefromthevoid6470,2018-10-25T15:39:28+00:00,"67 days, 21:42:38",longue  vie a UDO l une des dernières grand Légendes du métal
ct_3,@NardimLH,2018-10-24T18:22:20+00:00,"67 days, 0:25:30",epic
ct_4,@sorinnita531,2018-10-20T21:31:45+00:00,"63 days, 3:34:55",TOP  CONCERT
ct_5,@ddmitriy66,2018-10-19T19:31:15+00:00,"62 days, 1:34:25","рад за Леху Шульца, дай бог ему здоровья!"
ct_6,@fritz_the_cat,2018-10-16T11:58:08+00:00,"58 days, 18:01:18",🤘 ich bin mit *Accept* aufgewachsen 🤘
ct_7,@claudiobirnbaum3943,2018-10-16T01:34:33+00:00,"58 days, 7:37:43",Udo or accept?
ct_8,@DenIs-dm7de,2018-10-16T01:13:03+00:00,"58 days, 7:16:13","До сих пор не могу поверить,что увижу ""живьем"" 31 октября Самого Великого и Ужжасного УДО в Воронеже! сбудется мечта моей юности!"
ct_9,@aleksandremelyanov82,2018-10-15T17:02:14+00:00,"57 days, 23:05:24",30 лет слушаю этого красава!
ct_10,@llaneromemoscll,2018-10-14T07:20:54+00:00,"56 days, 13:24:04",The best!
ct_11,@worgothcgd,2018-10-13T02:50:27+00:00,"55 days, 8:53:37",Viva La DIRKSNIEDER \m/
ct_12,@7319slava,2018-10-08T11:58:50+00:00,"50 days, 18:02:00","Время идёт, а его слушаешь с UDOвольствием !!"
ct_13,@patrickcollins8971,2018-10-08T00:17:38+00:00,"50 days, 6:20:48",Udo is the voice of these classic accept songs!
ct_14,@macarena8636,2018-10-07T20:22:12+00:00,"50 days, 2:25:22",yuuuuuk
ct_15,@MrMoog1974,2018-10-06T14:06:55+00:00,"48 days, 20:10:05",einer der besten deutschen metalbands überhaupt
ct_16,@frankhendricks5750,2018-10-05T04:38:40+00:00,"47 days, 10:41:50",Hoffentlich machen die noch lange so geile Mucke
ct_17,@tralivaliist,2018-10-04T19:04:54+00:00,"47 days, 1:08:04","рок сила, реп могила, техно для дэбила!!!!"
ct_18,@mrChuvack1,2018-10-04T18:49:27+00:00,"47 days, 0:52:37","...Хоффмана явно не хватает...х.й патлатый соляки не вытягивает, заучил их как зубрила-отличник, никакой энергетики...только Удушка со Штефанушкой на себе все и тянут...Удушко-то - экий глыбища, экий человечище! В его возрасте многие не то что со сцены орать, а и старуху с дивана на х.й послать не в состоянии..."
