comment_id,message,feeling_neg,plu_pro,sin_pro,word_count,char_count,allcaps_c,emoji_count,pos_emoji_c,neu_emoji_c,neg_emoji_c
ct_1,"I'm from Argentina and just found out that they are coming here to play in November, as I didn't think they would come I bought a ticket to go to the US (Detroit) to see the show",,0,0,0,0,0,0,0,0,0
ct_2,already bought the ticket (but of course it was not the only reason to travel),,0,0,0,0,0,0,0,0,0
ct_6,wainting for,,0,0,0,0,0,0,0,0,0
ct_7,can't wait,,0,0,0,0,0,0,0,0,0
ct_8,Berlin concert was fantastic. :musical_keyboard::dizzy::thumbs_up:,,0,0,0,0,0,0,0,0,0
ct_9,Hope they gonna play again in France cause tickets were sold waaaay to fast,,0,0,0,0,0,0,0,0,0
ct_12,they forgot to add wales to their gigs,,0,0,0,0,0,0,0,0,0
ct_14,I will see them in cdmx,,0,0,0,0,0,0,0,0,0
ct_16,*Would be listening to Air forever ,,0,0,0,0,0,0,0,0,0
ct_17,Cant wait :blue_heart:,,0,0,0,0,0,0,0,0,0
ct_21,:red_heart::red_heart::red_heart:,,0,0,0,0,0,0,0,0,0
ct_22,Greetings from Chile!,,0,0,0,0,0,0,0,0,0
ct_27,uk here MS is my fave album,,0,0,0,0,0,0,0,0,0
ct_28,greetings from Malta,,0,0,0,0,0,0,0,0,0
ct_30,Kelly?,,0,0,0,0,0,0,0,0,0
ct_34,come on then,,0,0,0,0,0,0,0,0,0
ct_35,greetings from Chileeee ,,0,0,0,0,0,0,0,0,0
ct_36,Merci @arte pour cette dinguerie :smiling_face_with_heart_eyes:,,0,0,0,0,0,0,0,0,0
ct_38,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::star_struck::star_struck:,,0,0,0,0,0,0,0,0,0
ct_40,Hi from Philadelphia!,,0,0,0,0,0,0,0,0,0
ct_44,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,,0,0,0,0,0,0,0,0,0
ct_51,:face-red-heart-shape:,,0,0,0,0,0,0,0,0,0
ct_52,🙌🏽🙌🏽,,0,0,0,0,0,0,0,0,0
ct_54,:washhands::washhands::washhands:,,0,0,0,0,0,0,0,0,0
ct_57,glad to see this here as missed out seeing them in person,,0,0,0,0,0,0,0,0,0
ct_62,see you in LA at the end of the month :dizzy: ,,0,0,0,0,0,0,0,0,0
ct_63,"ducking brilliant, that bass!!",,0,0,0,0,0,0,0,0,0
ct_65,air :wind_face:los amo!,,0,0,0,0,0,0,0,0,0
ct_66,goozebumps my fave track,,0,0,0,0,0,0,0,0,0
ct_67,Great song to start with :two_hearts:,,0,0,0,0,0,0,0,0,0
ct_69,"well, the album starts with that track too",,0,0,0,0,0,0,0,0,0
ct_70,The concert consists of all 11 Moon Safari songs,,0,0,0,0,0,0,0,0,0
ct_71,@tloves max Yeah because it's the first one on the LP,,0,0,0,0,0,0,0,0,0
ct_73,take me back to 1996,,0,0,0,0,0,0,0,0,0
ct_74,top,,0,0,0,0,0,0,0,0,0
ct_75,:eyes-pink-heart-shape:,,0,0,0,0,0,0,0,0,0
ct_76,the San Francisco fan video of this song is immaculate,,0,0,0,0,0,0,0,0,0
ct_77,I truly needed this ,,0,0,0,0,0,0,0,0,0
ct_79,definitely goosebumps from the start,,0,0,0,0,0,0,0,0,0
ct_83,Space...the final frontier,,0,0,0,0,0,0,0,0,0
ct_84,Hi from Prague,,0,0,0,0,0,0,0,0,0
ct_85,:heart_suit:,,0,0,0,0,0,0,0,0,0
ct_86,Hello from Germany ,,0,0,0,0,0,0,0,0,0
ct_87,"""La Femme d'argent"" forgot how good starting track this was",,0,0,0,0,0,0,0,0,0
ct_89,:face-fuchsia-wide-eyes:,,0,0,0,0,0,0,0,0,0
ct_91,Live al Viva festival Locorotondo Bari :red_heart::red_heart::red_heart:,,0,0,0,0,0,0,0,0,0
ct_92,...and then it leads to their biggest hit,,0,0,0,0,0,0,0,0,0
ct_93,trop bon,,0,0,0,0,0,0,0,0,0
ct_94,all :smiling_face_with_heart_eyes:love!!!! from MX !!!!!,,0,0,0,0,0,0,0,0,0
ct_95,Awesome! How do we download it? ,,0,0,0,0,0,0,0,0,0
ct_98,I like the early years of Downtempo ,,0,0,0,0,0,0,0,0,0
ct_99,Austin in October 🙌🏽:maple_leaf::dashing_away::dashing_away:,,0,0,0,0,0,0,0,0,0
ct_100,:blue_circle::white_circle::red_circle:,,0,0,0,0,0,0,0,0,0
ct_102,GODO :green_square::white_large_square::red_square:,,0,0,0,0,0,0,0,0,0
ct_105,:smiling_face_with_heart_eyes:AMAZING:smiling_face_with_heart_eyes:,,0,0,0,0,0,0,0,0,0
ct_106,I'm not a number...so 60's under psychedelyc.,,0,0,0,0,0,0,0,0,0
ct_108,Me too @TimLM ,,0,0,0,0,0,0,0,0,0
ct_109,:fire:,,0,0,0,0,0,0,0,0,0
ct_111,:heart_suit::heart_suit::heart_suit::heart_suit: in love,,0,0,0,0,0,0,0,0,0
ct_112,carlo showalter :red_heart:,,0,0,0,0,0,0,0,0,0
ct_118,Sexy Boy!,,0,0,0,0,0,0,0,0,0
ct_123,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,,0,0,0,0,0,0,0,0,0
ct_126,Sexy song,,0,0,0,0,0,0,0,0,0
ct_127,omg I can't wait to see them in NYC,,0,0,0,0,0,0,0,0,0
ct_129,Big Up from Detroit with love to all ,,0,0,0,0,0,0,0,0,0
ct_134,:red_heart:,,0,0,0,0,0,0,0,0,0
ct_136,this is perfect ,,0,0,0,0,0,0,0,0,0
ct_139,Because it's ARTE :winking_face: @anousonne ,,0,0,0,0,0,0,0,0,0
ct_140,"Thanks @ARTE Concert , for broadcasting this.",,0,0,0,0,0,0,0,0,0
ct_142,Biggest single hit by them in the UK I think?,,0,0,0,0,0,0,0,0,0
ct_147,Kelly Watch The Stars,,0,0,0,0,0,0,0,0,0
ct_150,Kelly Watch The Stars,,0,0,0,0,0,0,0,0,0
ct_151,COSMIC SOUND:planet-orange-purple-ring:,,0,0,0,0,0,0,0,0,0
ct_152,:eyes-pink-heart-shape:,,0,0,0,0,0,0,0,0,0
ct_153,Around the world,,0,0,0,0,0,0,0,0,0
ct_155,"Also love the b-side of Sexy Boy ""Jeanne"", with the late Francoise Hardy",,0,0,0,0,0,0,0,0,0
ct_156,"Kelly, Watch the Stars!",,0,0,0,0,0,0,0,0,0
ct_157,@ARTE Concert la femme d'argent already played at first :D,,0,0,0,0,0,0,0,0,0
ct_158,AIR is timeless:musical_note::musical_score:,,0,0,0,0,0,0,0,0,0
ct_159,@ARTE Concert Ce Matin La,,0,0,0,0,0,0,0,0,0
ct_160,My fav track by them is sadly not on this album :(,X,0,0,0,0,0,0,0,0,0
ct_163,thx for streaming this premiere!! @ARTE Concert :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,,0,0,0,0,0,0,0,0,0
ct_164,Which one is it Doughnut Doney ?,,0,0,0,0,0,0,0,0,0
ct_165,Stoked I was able to catch this!,,0,0,0,0,0,0,0,0,0
