unicode_name,emoji,twitter_freq,whatsapp_freq,clarity_mean,arousal_mean,valence_mean,familarity_mean,complexity_mean,num_ratings
:angry_face:,😠,139661,3,82.107143,78.678571,14.428571,55.250000,28.285714,28
:angry_face_with_horns:,👿,28724,2,57.096774,75.774194,12.935484,43.096774,58.838710,31
:anguished_face:,😧,19740,6,69.461538,74.346154,20.153846,53.769231,36.807692,26
:anxious_face_with_sweat:,😰,46456,9,64.730769,58.807692,17.846154,61.961538,66.000000,26
:astonished_face:,😲,69023,8,57.296296,62.333333,42.925926,55.518519,51.259259,27
:beaming_face_with_smiling_eyes:,😁,1592764,302,87.290323,54.064516,85.096774,84.064516,26.774194,31
:clown_face:,🤡,1458554,5,23.142857,65.107143,36.714286,42.392857,84.250000,28
:cold_face:,🥶,85646,2,65.846154,62.615385,32.500000,46.230769,68.153846,26
:confounded_face:,😖,103352,14,49.703704,65.148148,18.296296,55.555556,37.888889,27
:confused_face:,😕,118789,53,49.964286,55.107143,29.464286,58.142857,21.214286,28
:cowboy_hat_face:,🤠,57562,2,43.387097,46.677419,75.483871,29.806452,59.870968,31
:crying_face:,😢,288682,36,66.750000,64.500000,27.535714,74.464286,41.035714,28
:disappointed_face:,😞,130101,25,79.392857,59.285714,22.392857,67.607143,18.000000,28
:disguised_face:,🥸,69548,0,25.653846,41.000000,50.846154,25.269231,76.884615,26
:dizzy_face:,😵,43633,12,42.580645,64.806452,31.032258,43.967742,56.483871,31
:dotted_line_face:,🫥,11403,0,28.250000,48.571429,34.214286,15.500000,27.285714,28
:downcast_face_with_sweat:,😓,59826,15,49.935484,56.322581,28.774194,73.193548,42.677419,31
:drooling_face:,🤤,243631,6,57.653846,38.846154,75.269231,52.346154,50.076923,26
:exploding_head:,🤯,179628,24,56.730769,76.846154,43.846154,47.576923,89.576923,26
:expressionless_face:,😑,128762,24,63.923077,52.192308,30.961538,62.153846,18.423077,26
:face_blowing_a_kiss:,😘,1484549,477,66.321429,46.607143,86.964286,83.500000,46.357143,28
:face_holding_back_tears:,🥹,173525,3,47.192308,42.807692,69.576923,51.807692,74.923077,26
:face_in_clouds:,😶‍🌫️,11276,1,11.185185,28.814815,53.111111,13.925926,69.148148,27
:face_savoring_food:,😋,573522,94,58.074074,44.370370,82.925926,70.222222,40.148148,27
:face_screaming_in_fear:,😱,552146,62,61.500000,77.392857,26.892857,73.214286,54.750000,28
:face_vomiting:,🤮,900399,10,83.148148,70.222222,12.333333,71.296296,65.333333,27
:face_with_diagonal_mouth:,🫤,39463,0,55.346154,46.769231,30.115385,60.153846,16.730769,26
:face_with_hand_over_mouth:,🤭,607935,49,49.107143,49.750000,71.250000,60.035714,51.642857,28
:face_with_head_bandage:,🤕,17333,0,58.296296,58.629630,24.074074,30.962963,52.703704,27
:face_with_medical_mask:,😷,121887,6,48.777778,37.518519,35.037037,45.925926,52.148148,27
:face_with_monocle:,🧐,421390,28,37.000000,47.571429,48.785714,61.642857,65.607143,28
:face_with_open_eyes_and_hand_over_mouth:,🫢,38666,0,47.000000,55.000000,46.961538,56.038462,50.038462,26
:face_with_open_mouth:,😮,114923,9,51.076923,66.884615,46.461538,71.115385,22.346154,26
:face_with_peeking_eye:,🫣,206950,4,36.111111,67.888889,40.222222,37.407407,75.370370,27
:face_with_raised_eyebrow:,🤨,358350,19,59.000000,60.259259,36.370370,66.370370,46.444444,27
:face_with_rolling_eyes:,🙄,1437409,180,57.096774,57.612903,30.354839,71.870968,38.612903,31
:face_with_spiral_eyes:,😵‍💫,175853,1,41.384615,60.500000,37.153846,30.230769,54.923077,26
:face_with_steam_from_nose:,😤,154634,13,51.935484,69.774194,22.258065,46.774194,64.225806,31
:face_with_symbols_on_mouth:,🤬,372975,3,74.807692,88.846154,10.961538,40.346154,64.692308,26
:face_with_tears_of_joy:,😂,8325426,2433,85.846154,74.269231,92.153846,99.076923,58.538462,26
:face_with_thermometer:,🤒,16135,4,83.967742,50.870968,25.096774,31.935484,57.806452,31
:face_with_tongue:,😛,82772,24,49.230769,55.192308,71.461538,73.846154,34.153846,26
:face_without_mouth:,😶,91870,8,16.925926,39.629630,43.333333,35.222222,8.370370,27
:fearful_face:,😨,41099,7,63.666667,81.370370,23.666667,60.629630,62.629630,27
:flushed_face:,😳,678844,85,50.714286,70.357143,40.964286,78.678571,54.821429,28
:frowning_face:,☹️,77005,13,84.038462,58.615385,10.692308,80.461538,12.423077,26
:frowning_face_with_open_mouth:,😦,9957,1,63.903226,57.129032,28.677419,57.580645,25.322581,31
:grimacing_face:,😬,726605,169,45.346154,61.692308,40.153846,76.346154,34.269231,26
:grinning_face:,😀,551826,68,78.612903,50.096774,80.096774,81.741935,22.612903,31
:grinning_face_with_big_eyes:,😃,421290,97,86.814815,49.740741,91.777778,87.370370,31.296296,27
:grinning_face_with_smiling_eyes:,😄,615536,446,90.592593,52.407407,93.740741,87.740741,32.629630,27
